Tiempo,Temperatura_Ambiental,Humedad,Ruido,Luminosidad,Proximidad,Color,PM1_0,PM2_5,PM10
20,26.2,66.2,0.0,0.0,255,AZUL,7,9,10
30,26.3,67.5,0.0,0.0,255,AZUL,8,10,11
40,26.3,66.3,0.0,0.0,255,AZUL,8,10,10
50,26.4,65.9,0.0,0.0,255,AZUL,7,10,10
60,26.4,65.9,0.0,0.0,255,AZUL,6,8,8
70,26.4,65.6,0.0,0.0,255,AZUL,0,0,0
80,26.4,65.6,0.0,0.0,255,AZUL,8,8,9
90,26.4,65.6,0.0,0.0,255,AZUL,7,8,8
100,26.4,65.3,0.0,0.0,255,AZUL,7,8,8
110,26.5,65.3,0.0,0.0,255,AZUL,7,8,8
120,26.5,65.2,0.0,0.0,255,AZUL,7,8,8
130,26.5,65.1,0.0,0.0,255,AZUL,7,8,9
140,26.6,64.8,0.0,0.0,255,AZUL,7,8,9
150,26.6,64.8,0.0,0.0,255,AZUL,7,8,8
160,26.6,64.8,0.0,0.0,255,AZUL,7,8,10
170,26.6,64.9,0.0,0.0,255,AZUL,8,9,12
180,26.6,64.8,0.0,0.0,255,AZUL,7,9,10
190,26.6,64.6,0.0,0.0,255,AZUL,8,9,12
200,26.6,64.5,0.0,0.0,255,AZUL,7,9,12
210,26.6,64.6,0.0,0.0,255,AZUL,8,10,10
220,26.6,64.6,0.0,0.0,255,AZUL,8,9,10
230,26.6,64.5,0.0,0.0,255,AZUL,8,10,12
240,26.6,64.5,0.0,0.0,255,AZUL,8,10,12
250,26.7,64.4,0.0,0.0,255,AZUL,8,9,12
260,26.7,64.2,0.0,0.0,255,AZUL,8,9,9
270,26.7,64.1,0.0,0.0,255,AZUL,8,9,9
280,26.7,64.1,0.0,0.0,255,AZUL,7,8,9
290,26.8,64.1,0.0,0.0,255,AZUL,7,8,9
300,26.8,64.0,0.0,0.0,255,AZUL,8,9,9
310,26.8,63.7,0.0,0.0,255,AZUL,8,9,9
321,26.8,63.7,0.0,0.0,255,AZUL,8,9,10
331,26.7,63.7,0.0,0.0,255,AZUL,8,9,10
341,26.7,63.8,0.0,0.0,255,AZUL,7,8,10
351,26.7,63.9,0.0,0.0,255,AZUL,7,8,8
361,26.7,63.9,0.0,0.0,255,AZUL,7,8,8
371,26.6,64.0,0.0,0.0,255,AZUL,7,8,8
381,26.6,64.2,0.0,0.0,255,AZUL,7,7,8
391,26.6,64.2,0.0,0.0,255,AZUL,7,7,7
401,26.5,64.3,0.0,0.0,255,AZUL,7,9,9
411,26.6,64.3,0.0,0.0,255,AZUL,7,8,9
421,26.6,64.3,0.0,0.0,255,AZUL,8,10,10
431,26.6,64.4,0.0,0.0,255,AZUL,8,10,10
441,26.6,64.4,0.0,0.0,255,AZUL,8,10,10
451,26.6,64.3,0.0,0.0,255,AZUL,7,10,12
461,26.6,64.3,0.0,0.0,255,AZUL,8,10,12
472,26.6,64.3,0.0,0.0,255,AZUL,8,10,10
482,26.7,64.3,0.0,0.0,255,AZUL,7,9,9
493,26.6,64.2,0.0,0.0,255,AZUL,8,10,12
503,26.7,64.1,0.0,0.0,255,AZUL,9,10,12
513,26.7,64.1,0.0,0.0,255,AZUL,8,9,9
523,26.7,64.1,0.0,0.0,255,AZUL,7,8,9
533,26.7,64.0,0.0,0.0,255,AZUL,8,9,10
543,26.7,64.0,0.0,0.0,255,AZUL,7,9,9
553,26.7,64.0,0.0,0.0,255,AZUL,7,8,8
563,26.7,64.1,0.0,0.0,255,AZUL,7,8,8
573,26.7,64.1,0.0,0.0,255,AZUL,8,9,10
583,26.6,64.0,0.0,0.0,255,AZUL,0,0,0
593,26.6,64.1,0.0,0.0,255,AZUL,8,9,9
603,26.6,64.3,0.0,0.0,255,AZUL,8,9,9
613,26.6,64.3,0.0,0.0,255,AZUL,7,8,8
623,26.6,64.3,0.0,0.0,255,AZUL,7,8,9
633,26.6,64.3,0.0,0.0,255,AZUL,7,8,9
643,26.5,64.3,0.0,0.0,255,AZUL,8,8,8
653,26.5,64.4,0.0,0.0,255,AZUL,8,10,10
664,26.4,64.6,0.0,0.0,255,AZUL,8,10,10
674,26.5,64.7,0.0,0.0,255,AZUL,9,13,13
684,26.4,64.7,0.0,0.0,255,AZUL,8,10,10
694,26.4,64.8,0.0,0.0,255,AZUL,8,9,9
704,26.3,64.9,0.0,0.0,255,AZUL,8,9,10
714,26.3,65.0,0.0,0.0,255,AZUL,8,9,11
724,26.3,65.0,0.0,0.0,255,AZUL,8,9,10
734,26.3,65.1,0.0,0.0,255,AZUL,9,9,10
744,26.3,65.1,0.0,0.0,255,AZUL,9,10,11
754,26.3,65.1,0.0,0.0,255,AZUL,9,10,11
764,26.3,65.1,0.0,0.0,255,AZUL,9,10,11
774,26.4,65.1,0.0,0.0,255,AZUL,9,10,10
784,26.3,65.0,0.0,0.0,255,AZUL,8,10,10
794,26.4,65.0,0.0,0.0,255,AZUL,8,10,10
804,26.4,64.9,0.0,0.0,255,AZUL,7,9,10
814,26.4,64.9,0.0,0.0,255,AZUL,7,10,12
824,26.4,64.8,0.0,0.0,255,AZUL,8,9,10
834,26.4,64.8,0.0,0.0,255,AZUL,8,10,12
844,26.4,64.7,0.0,0.0,255,AZUL,8,10,10
854,26.4,64.7,0.0,0.0,255,AZUL,7,10,12
864,26.5,64.7,0.0,0.0,255,AZUL,8,10,12
874,26.5,64.6,0.0,0.0,255,AZUL,8,9,10
884,26.5,64.6,0.0,0.0,255,AZUL,7,9,9
894,26.5,64.6,0.0,0.0,255,AZUL,7,8,9
904,26.5,64.6,0.0,0.0,255,AZUL,9,10,10
914,26.5,64.6,0.0,0.0,255,AZUL,9,10,10
924,26.5,64.6,0.0,0.0,255,AZUL,8,11,11
934,26.5,64.5,0.0,0.0,255,AZUL,7,9,9
944,26.5,64.6,0.0,0.0,255,AZUL,7,8,9
954,26.6,64.6,0.0,0.0,255,AZUL,7,8,8
964,26.5,64.5,0.0,0.0,255,AZUL,7,8,8
974,26.6,64.2,0.0,0.0,255,AZUL,8,9,9
984,26.6,64.4,0.0,0.0,255,AZUL,8,9,9
994,26.6,64.3,0.0,0.0,255,AZUL,7,9,9
1004,26.6,64.2,0.0,0.0,255,AZUL,7,9,9
